FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
195,Polygon,10461,1774337.309,5487.781199,608,s,"Trias, Buntsandstein ungegliedert","tr,s", , ,"Sandstein, Schluffstein, Tonstein", , ,8770.701116,4530835.592,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
196,Polygon,10463,3295834.159,9836.671588,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,15711.59657,8413510.551,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
197,Polygon,10464,507529.2081,2914.129373,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4655.500548,1296229.269,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
198,Polygon,10465,1206173.491,4250.466725,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",6794.036575,3079543.989,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
199,Polygon,10466,6658597.182,12205.32473,500,t,TertiÑr,t, , , , , ,19499.31316,17000761.05,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
200,Polygon,10471,1532829.125,5057.81505,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",8082.731892,3913911.315,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
201,Polygon,10476,407944.4917,2480.556729,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3965.775206,1041548.725,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
202,Polygon,10486,10933840.59,15069.58999,654,z,"Perm, Zechstein",z,marine Ablagerung,m,"Kalkstein, Dolomitstein, Tonstein","^k,^d,^t",Karbonatisch-tonige Randfazies,24074.04235,27880707.6,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
203,Polygon,10492,743895.1541,3444.544065,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5506.261991,1898885.633,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
204,Polygon,10495,2576716.65,7304.512894,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",11671.93628,6574933.933,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
205,Polygon,10499,1344893.047,5117.54516,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",8175.158812,3433035.858,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
206,Polygon,10501,666830.777,2968.913642,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4743.26626,1701883.423,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
207,Polygon,10507,1440898.909,5368.517137,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,8576.170663,3676642.42,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
208,Polygon,10512,464079.4368,2592.549257,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4143.355271,1184272.318,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
209,Polygon,10515,6577870.599,15956.03769,589,tr,Trias ungegliedert,tr, , , , ,Oberostalpin (îrtlich Unterostalpin in den Stubaier Alpen),25493.82909,16772036.3,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
210,Polygon,10516,1079364.009,3790.543,500,t,TertiÑr,t, , , , , ,6056.712036,2754391.576,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
211,Polygon,10520,567061.9323,3124.663202,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,4993.571378,1447186.33,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
212,Polygon,10523,757083.3974,3552.745933,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5674.670661,1931838.776,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
213,Polygon,10529,474575.1545,2653.675238,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4240.99712,1210859.432,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
214,Polygon,10532,5564488.641,18034.45477,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,28794.54573,14191051.07,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
215,Polygon,10536,1280188.075,4156.548533,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,6639.003761,3265989.542,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
216,Polygon,10547,8082558.478,15264.2971,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",24380.28026,20604756.89,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
217,Polygon,10554,1784149.457,6054.3676,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,9672.766787,4550200.734,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
218,Polygon,10555,1344830.959,6060.795021,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,9680.962488,3429832.387,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
219,Polygon,10559,6482044.299,15981.61361,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",25518.00025,16528247.88,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
220,Polygon,10563,669947.9766,3222.024902,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,5147.933531,1708636.928,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
221,Polygon,10566,605453.6005,3338.994322,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,5332.290216,1544025.865,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
222,Polygon,10568,796746.6003,5515.293797,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,8809.809461,2030823.319,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
223,Polygon,10573,683380.1818,3294.895911,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,5263.479154,1742654.119,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
224,Polygon,10580,704679.9668,3189.840656,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,5093.661711,1796909.508,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
225,Polygon,10581,13010626.26,29072.61868,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,46415.93212,33141614.28,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
226,Polygon,10582,55152.09987,1156.54035,999, , , , , , , , ,1848.014801,140600.0415,nd,Carboniferous,Carboniferous
227,Polygon,10585,2341022.595,7056.658899,657,z,"Perm, Zechstein ungegliedert",z, , ,"Kalk-, Dolomit-, Tonstein", , ,11261.64102,5966019.991,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
228,Polygon,10586,3690576.998,8847.353967,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,14122.0052,9405680.894,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
229,Polygon,10593,9827630.681,20137.72182,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,32137.82565,25026391.46,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
230,Polygon,10594,8722334.049,15806.14122,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,25230.25146,22223239.37,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
231,Polygon,10596,1880021.159,5099.632851,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",8142.628348,4791342.354,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
232,Polygon,10597,9667519.053,51027.77679,999, , , , , , , , ,81432.94168,24620654,nd,Carboniferous,Carboniferous
233,Polygon,10603,19191431.68,27368.36348,24,//f,HolozÑn,qh,fluviatil,f,"Sand, Kies, Schotter","S,G,fX",z.T. unter Aulehmdecke [in den Alpen mit pleistozÑnen Terassen und Hangablagerungen,43653.51895,48889056.22,Holocene,Holocene,Holocene
234,Polygon,10606,1437893.268,4982.528261,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",7956.225119,3664540.142,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
235,Polygon,10612,1148927.887,6479.390248,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,10346.62146,2927560.539,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
236,Polygon,10624,6927059.036,14095.3565,657,z,"Perm, Zechstein ungegliedert",z, , ,"Kalk-, Dolomit-, Tonstein", , ,22494.6748,17636192.91,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
237,Polygon,10625,817501.198,3464.83018,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5531.793631,2083136.834,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
238,Polygon,10627,2515984.494,6882.548463,608,s,"Trias, Buntsandstein ungegliedert","tr,s", , ,"Sandstein, Schluffstein, Tonstein", , ,10990.175,6408854.29,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
239,Polygon,10631,3678243.898,15282.50239,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,24405.74199,9360718.756,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
240,Polygon,10633,1023020.725,3927.107502,657,z,"Perm, Zechstein ungegliedert",z, , ,"Kalk-, Dolomit-, Tonstein", , ,6269.662583,2607233.05,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
241,Polygon,10635,1587760.873,5610.274711,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,8959.858639,4045713.454,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
242,Polygon,10639,370607.2272,2435.537821,507,tmi,"TertiÑr, MiozÑn",tmi,limnisch - fluviatile Ablagerungen,l-f,"Sand, Ton; braunkohlefÅhrend, Kalksteinlagen","S,T;^brk,lag(^k)", ,3889.958027,944304.7683,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
243,Polygon,10644,2253932.396,11226.17757,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,17915.089,5740140.835,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
244,Polygon,10646,1029462.318,5408.249482,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,8638.659928,2621700.489,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
245,Polygon,10653,27347017.78,77162.80886,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,122961.7626,69451525.1,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
246,Polygon,10654,14816877.08,27537.05974,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",43935.37557,37716188.37,Pleistocene,Pleistocene,Pleistocene
247,Polygon,10655,2345691.79,6411.323475,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",10234.89144,5973968.703,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
248,Polygon,10664,1965738.647,6508.741402,444,qp//f,"PleistozÑn, ungegliedert",qp,fluviatil,f,"Sand, Kies","S,G", ,10382.82023,5007166.543,Pleistocene,Pleistocene,Pleistocene
249,Polygon,10665,597953.7895,3051.869755,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4870.139513,1523217.074,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
250,Polygon,10671,26279732.94,54015.53648,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,86096.07643,66783718.68,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
251,Polygon,10674,1150662.923,4491.852964,792,t/+B,TertiÑr,t,vulkanogen,vu,"basaltische, alkalibasaltische und foidbasaltische Tuffe und Schlacken","+VT,VS;+B,+B(""a"",""f"")",in Nordbîhmen auch trachytische Tuffe,7170.37697,2930241.854,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
252,Polygon,10687,5021287.828,14186.72064,606, , , , , , , , ,22627.01161,12782024.34,nd,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
253,Polygon,10695,2004255.069,5949.419095,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,9494.31283,5102918.894,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
254,Polygon,10696,2490529.14,6422.989178,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,10249.66037,6339776.544,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
255,Polygon,10700,591859.3683,3235.047155,591,k,"Trias, Keuper",k, , ,"Tonstein, Sandstein, Quarzit, Dolomit","^t,^s,^q,^d", ,5162.712608,1506704.304,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
256,Polygon,10710,1495555.192,5260.166132,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",8395.568418,3806597.091,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
257,Polygon,10713,1862351.103,6230.395855,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,9938.38213,4740440.606,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
258,Polygon,10718,3010186.688,7583.793129,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,12098.00205,7660572.95,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
259,Polygon,10722,838245.3855,3586.935052,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5721.972917,2133322.622,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
260,Polygon,10725,706359.169,7596.464635,999, , , , , , , , ,12111.28252,1797059.719,nd,Carboniferous,Carboniferous
261,Polygon,10726,594092.3433,3223.539299,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,5142.989048,1512015.819,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
262,Polygon,10736,9881336.405,18927.92857,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,30180.41995,25131496.15,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
263,Polygon,10739,520710.7284,2881.446097,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4595.327165,1324951.882,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
264,Polygon,10740,5281761.82,10805.69037,500,t,TertiÑr,t, , , , , ,17227.39095,13435413.02,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
265,Polygon,10744,3478406.141,9277.408795,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,14789.98069,8847783.574,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
266,Polygon,10749,1710527.965,4980.196064,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,7944.084472,4351782.194,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
267,Polygon,10757,1011171.929,5099.77525,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,8135.686429,2571854.158,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
268,Polygon,10759,2585551.95,8989.548961,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,14328.75577,6577648.512,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
269,Polygon,10761,3463584.14,8335.88329,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",13299.4101,8805642.581,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
270,Polygon,10764,1388074.961,6309.993704,654,z,"Perm, Zechstein",z,marine Ablagerung,m,"Kalkstein, Dolomitstein, Tonstein","^k,^d,^t",Karbonatisch-tonige Randfazies,10054.43452,3530575.242,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
271,Polygon,10773,1089639.917,5469.354865,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,8720.580547,2771316.485,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
272,Polygon,10774,9250928.623,19668.54028,681,do,"Devon, Oberdevon",do,marine Ablagerungen,m,"Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein","^tsf,^s,^g,^q,^k",vgl.671,31342.41631,23507921.6,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
273,Polygon,10784,1499147.804,5672.994131,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",9040.921211,3812843.2,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
